mesh,x,H,ds1,cf,theta
200x32,0.3900,2.63885900,0.00362303,0.00381230,0.00137295
200x32,0.4000,2.64015576,0.00367471,0.00375787,0.00139186
200x32,0.4100,2.64139344,0.00372567,0.00370572,0.00141049
200x32,0.4200,2.64257624,0.00377592,0.00365569,0.00142888
200x32,0.4300,2.64370796,0.00382549,0.00360765,0.00144702
200x32,0.4400,2.64479207,0.00387441,0.00356146,0.00146492
200x32,0.4500,2.64583169,0.00392270,0.00351701,0.00148260
200x32,0.4600,2.64682969,0.00397040,0.00347419,0.00150006
200x32,0.4700,2.64778868,0.00401752,0.00343291,0.00151731
200x32,0.4800,2.64871104,0.00406407,0.00339307,0.00153436
200x32,0.4900,2.64959897,0.00411009,0.00335460,0.00155121
200x32,0.5000,2.65045450,0.00415559,0.00331741,0.00156788
200x32,0.5100,2.65127947,0.00420058,0.00328143,0.00158436
200x32,0.5200,2.65207560,0.00424509,0.00324661,0.00160067
200x32,0.5300,2.65284447,0.00428913,0.00321288,0.00161680
200x32,0.5400,2.65358755,0.00433270,0.00318018,0.00163277
200x32,0.5500,2.65430621,0.00437584,0.00314846,0.00164858
200x32,0.5600,2.65500169,0.00441854,0.00311768,0.00166423
200x32,0.5700,2.65567519,0.00446083,0.00308779,0.00167974
200x32,0.5800,2.65632779,0.00450272,0.00305874,0.00169509
200x32,0.5900,2.65696051,0.00454421,0.00303051,0.00171030
200x32,0.6000,2.65757431,0.00458531,0.00300304,0.00172538
200x32,0.6100,2.65817007,0.00462605,0.00297631,0.00174031
200x32,0.6200,2.65874864,0.00466642,0.00295029,0.00175512
200x32,0.6300,2.65931079,0.00470644,0.00292494,0.00176980
200x32,0.6400,2.65985726,0.00474612,0.00290023,0.00178435
200x32,0.6500,2.66038874,0.00478546,0.00287614,0.00179878
200x32,0.6600,2.66090588,0.00482447,0.00285265,0.00181309
200x32,0.6700,2.66140928,0.00486317,0.00282972,0.00182729
200x32,0.6800,2.66189952,0.00490155,0.00280734,0.00184137
200x32,0.6900,2.66237715,0.00493964,0.00278548,0.00185535
200x32,0.7000,2.66284268,0.00497742,0.00276413,0.00186921
200x32,0.7100,2.66329659,0.00501492,0.00274326,0.00188297
200x32,0.7200,2.66373933,0.00505213,0.00272287,0.00189663
200x32,0.7300,2.66417135,0.00508907,0.00270292,0.00191019
200x32,0.7400,2.66459305,0.00512573,0.00268340,0.00192364
200x32,0.7500,2.66500482,0.00516213,0.00266430,0.00193701
200x32,0.7600,2.66540704,0.00519827,0.00264561,0.00195027
200x32,0.7700,2.66580004,0.00523416,0.00262731,0.00196345
200x32,0.7800,2.66618417,0.00526980,0.00260938,0.00197653
200x32,0.7900,2.66655974,0.00530520,0.00259181,0.00198953
200x32,0.8000,2.66692705,0.00534035,0.00257460,0.00200244
200x32,0.8100,2.66728639,0.00537528,0.00255773,0.00201526
200x32,0.8200,2.66763803,0.00540997,0.00254118,0.00202800
200x32,0.8300,2.66798224,0.00544444,0.00252495,0.00204066
200x32,0.8400,2.66831926,0.00547870,0.00250903,0.00205324
200x32,0.8500,2.66864932,0.00551273,0.00249341,0.00206574
200x32,0.8600,2.66897267,0.00554655,0.00247808,0.00207816
200x32,0.8700,2.66928950,0.00558017,0.00246303,0.00209051
200x32,0.8800,2.66960003,0.00561358,0.00244825,0.00210278
200x32,0.8900,2.66990446,0.00564679,0.00243373,0.00211498
200x32,0.9000,2.67020298,0.00567980,0.00241947,0.00212710
200x32,0.9100,2.67049577,0.00571262,0.00240546,0.00213916
200x32,0.9200,2.67078299,0.00574525,0.00239169,0.00215115
200x32,0.9300,2.67106483,0.00577769,0.00237816,0.00216307
200x32,0.9400,2.67134144,0.00580995,0.00236485,0.00217492
200x32,0.9500,2.67161297,0.00584202,0.00235176,0.00218670
200x32,0.9600,2.67187957,0.00587392,0.00233889,0.00219842
200x32,0.9700,2.67214138,0.00590565,0.00232623,0.00221008
200x32,0.9800,2.67239854,0.00593720,0.00231378,0.00222167
200x32,0.9900,2.67265118,0.00596858,0.00230152,0.00223321
200x32,1.0000,2.67289942,0.00599980,0.00228945,0.00224468
200x32,1.0100,2.67314338,0.00603085,0.00227758,0.00225609
200x32,1.0200,2.67338319,0.00606175,0.00226588,0.00226744
200x32,1.0300,2.67361895,0.00609248,0.00225437,0.00227874
200x32,1.0400,2.67385078,0.00612306,0.00224303,0.00228998
200x32,1.0500,2.67407877,0.00615348,0.00223186,0.00230116
200x32,1.0600,2.67430302,0.00618375,0.00222086,0.00231228
200x32,1.0700,2.67452364,0.00621387,0.00221001,0.00232336
200x32,1.0800,2.67474071,0.00624385,0.00219933,0.00233437
200x32,1.0900,2.67495433,0.00627368,0.00218880,0.00234534
200x32,1.1000,2.67516458,0.00630336,0.00217842,0.00235625
200x32,1.1100,2.67537155,0.00633291,0.00216818,0.00236711
200x32,1.1200,2.67557532,0.00636231,0.00215809,0.00237792
200x32,1.1300,2.67577596,0.00639158,0.00214814,0.00238868
200x32,1.1400,2.67597355,0.00642072,0.00213833,0.00239939
200x32,1.1500,2.67616817,0.00644972,0.00212865,0.00241006
200x32,1.1600,2.67635988,0.00647858,0.00211910,0.00242067
200x32,1.1700,2.67654876,0.00650732,0.00210968,0.00243124
200x32,1.1800,2.67673487,0.00653593,0.00210038,0.00244176
200x32,1.1900,2.67691827,0.00656442,0.00209121,0.00245223
200x32,1.2000,2.67709903,0.00659278,0.00208216,0.00246266
200x32,1.2100,2.67727721,0.00662101,0.00207322,0.00247304
200x32,1.2200,2.67745286,0.00664913,0.00206439,0.00248338
200x32,1.2300,2.67762604,0.00667713,0.00205568,0.00249367
200x32,1.2400,2.67779681,0.00670500,0.00204708,0.00250392
200x32,1.2500,2.67796522,0.00673276,0.00203859,0.00251413
200x32,1.2600,2.67813132,0.00676041,0.00203020,0.00252430
200x32,1.2700,2.67829516,0.00678794,0.00202191,0.00253442
200x32,1.2800,2.67845679,0.00681535,0.00201373,0.00254451
200x32,1.2900,2.67861626,0.00684266,0.00200564,0.00255455
200x32,1.3000,2.67877361,0.00686986,0.00199765,0.00256455
200x32,1.3100,2.67892888,0.00689694,0.00198976,0.00257452
200x32,1.3200,2.67908213,0.00692392,0.00198196,0.00258444
200x32,1.3300,2.67923339,0.00695080,0.00197425,0.00259432
200x32,1.3400,2.67938269,0.00697757,0.00196663,0.00260417
200x32,1.3500,2.67953010,0.00700423,0.00195909,0.00261398
200x32,1.3600,2.67967563,0.00703080,0.00195165,0.00262375
200x32,1.3700,2.67981932,0.00705726,0.00194429,0.00263348
200x32,1.3800,2.67996123,0.00708362,0.00193701,0.00264318
200x32,1.3900,2.68010137,0.00710988,0.00192981,0.00265284
200x32,1.4000,2.68023978,0.00713605,0.00192269,0.00266247
200x32,1.4100,2.68037650,0.00716211,0.00191566,0.00267206
200x32,1.4200,2.68051157,0.00718809,0.00190869,0.00268161
200x32,1.4300,2.68064500,0.00721396,0.00190181,0.00269113
200x32,1.4400,2.68077683,0.00723975,0.00189499,0.00270062
200x32,1.4500,2.68090710,0.00726544,0.00188826,0.00271007
200x32,1.4600,2.68103583,0.00729104,0.00188159,0.00271949
200x32,1.4700,2.68116305,0.00731655,0.00187499,0.00272887
200x32,1.4800,2.68128879,0.00734196,0.00186846,0.00273822
200x32,1.4900,2.68141307,0.00736729,0.00186200,0.00274754
200x32,1.5000,2.68153593,0.00739253,0.00185561,0.00275683
200x32,1.5100,2.68165738,0.00741769,0.00184928,0.00276608
200x32,1.5200,2.68177745,0.00744276,0.00184302,0.00277531
200x32,1.5300,2.68189617,0.00746774,0.00183682,0.00278450
200x32,1.5400,2.68201357,0.00749264,0.00183068,0.00279366
200x32,1.5500,2.68212965,0.00751745,0.00182461,0.00280279
200x32,1.5600,2.68224446,0.00754219,0.00181859,0.00281189
200x32,1.5700,2.68235800,0.00756684,0.00181263,0.00282096
200x32,1.5800,2.68247031,0.00759141,0.00180674,0.00283001
200x32,1.5900,2.68258139,0.00761589,0.00180089,0.00283902
200x32,1.6000,2.68269128,0.00764030,0.00179511,0.00284800
200x32,1.6100,2.68279999,0.00766463,0.00178938,0.00285695
200x32,1.6200,2.68290755,0.00768889,0.00178371,0.00286588
200x32,1.6300,2.68301397,0.00771306,0.00177809,0.00287477
200x32,1.6400,2.68311927,0.00773716,0.00177252,0.00288364
200x32,1.6500,2.68322346,0.00776118,0.00176701,0.00289248
200x32,1.6600,2.68332659,0.00778513,0.00176154,0.00290130
200x32,1.6700,2.68342863,0.00780900,0.00175613,0.00291008
200x32,1.6800,2.68352964,0.00783280,0.00175077,0.00291884
200x32,1.6900,2.68362961,0.00785652,0.00174545,0.00292757
200x32,1.7000,2.68372857,0.00788018,0.00174019,0.00293628
200x32,1.7100,2.68382652,0.00790376,0.00173497,0.00294496
200x32,1.7200,2.68392350,0.00792727,0.00172980,0.00295361
200x32,1.7300,2.68401950,0.00795071,0.00172467,0.00296224
200x32,1.7400,2.68411457,0.00797408,0.00171959,0.00297084
200x32,1.7500,2.68420867,0.00799738,0.00171456,0.00297942
200x32,1.7600,2.68430190,0.00802061,0.00170956,0.00298797
200x32,1.7700,2.68439414,0.00804377,0.00170462,0.00299649
200x32,1.7800,2.68448559,0.00806687,0.00169971,0.00300500
200x32,1.7900,2.68457603,0.00808990,0.00169485,0.00301347
200x32,1.8000,2.68466575,0.00811286,0.00169003,0.00302193
200x32,1.8100,2.68475443,0.00813576,0.00168525,0.00303035
200x32,1.8200,2.68484250,0.00815859,0.00168051,0.00303876
200x32,1.8300,2.68492946,0.00818136,0.00167581,0.00304714
200x32,1.8400,2.68501594,0.00820406,0.00167115,0.00305550
200x32,1.8500,2.68510120,0.00822670,0.00166653,0.00306383
200x32,1.8600,2.68518616,0.00824927,0.00166195,0.00307214
200x32,1.8700,2.68526976,0.00827179,0.00165740,0.00308043
200x32,1.8800,2.68535326,0.00829424,0.00165290,0.00308870
200x32,1.8900,2.68543521,0.00831663,0.00164842,0.00309694
200x32,1.9000,2.68551732,0.00833896,0.00164399,0.00310516
200x32,1.9100,2.68559765,0.00836122,0.00163959,0.00311336
200x32,1.9200,2.68567845,0.00838343,0.00163523,0.00312153
200x32,1.9300,2.68575715,0.00840558,0.00163090,0.00312969
200x32,1.9400,2.68583672,0.00842767,0.00162660,0.00313782
200x32,1.9500,2.68591379,0.00844970,0.00162234,0.00314593
200x32,1.9600,2.68599222,0.00847167,0.00161812,0.00315402
200x32,1.9700,2.68606764,0.00849359,0.00161392,0.00316209
200x32,1.9800,2.68614503,0.00851544,0.00160976,0.00317013
200x32,1.9900,2.68621877,0.00853724,0.00160563,0.00317816
200x32,2.0000,2.68629522,0.00855898,0.00160153,0.00318617
200x32,2.0100,2.68636727,0.00858068,0.00159747,0.00319416
200x32,2.0200,2.68644288,0.00860230,0.00159343,0.00320212
200x32,2.0300,2.68651317,0.00862389,0.00158943,0.00321007
200x32,2.0400,2.68658806,0.00864539,0.00158546,0.00321798
200x32,2.0500,2.68665657,0.00866688,0.00158151,0.00322590
200x32,2.0600,2.68673079,0.00868827,0.00157760,0.00323377
200x32,2.0700,2.68679760,0.00870966,0.00157370,0.00324165
200x32,2.0800,2.68687109,0.00873092,0.00156986,0.00324948
200x32,2.0900,2.68693635,0.00875224,0.00156602,0.00325733
200x32,2.1000,2.68700891,0.00877335,0.00156223,0.00326510
200x32,2.1100,2.68707312,0.00879463,0.00155843,0.00327294
200x32,2.1200,2.68714394,0.00881554,0.00155472,0.00328064
200x32,2.1300,2.68720844,0.00883685,0.00155096,0.00328849
200x32,2.1400,2.68727568,0.00885748,0.00154733,0.00329608
200x32,2.1500,2.68734311,0.00887895,0.00154357,0.00330399
200x32,2.1600,2.68740298,0.00889909,0.00154006,0.00331141
200x32,2.1700,2.68747909,0.00892100,0.00153626,0.00331947
