mesh,x,H,ds1,cf,theta
100x16,0.5400,2.65365189,0.00433394,0.00317924,0.00163320
100x16,0.5600,2.65506592,0.00441979,0.00311677,0.00166466
100x16,0.5800,2.65639092,0.00450398,0.00305786,0.00169553
100x16,0.6000,2.65763732,0.00458659,0.00300218,0.00172581
100x16,0.6200,2.65881052,0.00466771,0.00294945,0.00175556
100x16,0.6400,2.65991906,0.00474741,0.00289941,0.00178480
100x16,0.6600,2.66096650,0.00482578,0.00285185,0.00181354
100x16,0.6800,2.66196015,0.00490287,0.00280656,0.00184183
100x16,0.7000,2.66290208,0.00497874,0.00276337,0.00186967
100x16,0.7200,2.66379882,0.00505346,0.00272212,0.00189709
100x16,0.7400,2.66465127,0.00512707,0.00268268,0.00192410
100x16,0.7600,2.66546547,0.00519961,0.00264490,0.00195073
100x16,0.7800,2.66624124,0.00527115,0.00260869,0.00197700
100x16,0.8000,2.66698451,0.00534171,0.00257392,0.00200290
100x16,0.8200,2.66769404,0.00541133,0.00254052,0.00202847
100x16,0.8400,2.66837580,0.00548006,0.00250839,0.00205371
100x16,0.8600,2.66902772,0.00554792,0.00247745,0.00207863
100x16,0.8800,2.66965572,0.00561495,0.00244763,0.00210325
100x16,0.9000,2.67025716,0.00568118,0.00241886,0.00212758
100x16,0.9200,2.67083791,0.00574663,0.00239110,0.00215162
100x16,0.9400,2.67139483,0.00581134,0.00236426,0.00217539
100x16,0.9600,2.67193377,0.00587532,0.00233832,0.00219890
100x16,0.9800,2.67245129,0.00593860,0.00231321,0.00222216
100x16,1.0000,2.67295293,0.00600121,0.00228890,0.00224516
100x16,1.0200,2.67343542,0.00606316,0.00226534,0.00226793
100x16,1.0400,2.67390370,0.00612447,0.00224249,0.00229046
100x16,1.0600,2.67435478,0.00618518,0.00222033,0.00231277
100x16,1.0800,2.67479317,0.00624528,0.00219881,0.00233486
100x16,1.1000,2.67521594,0.00630480,0.00217790,0.00235674
100x16,1.1200,2.67562741,0.00636376,0.00215759,0.00237842
100x16,1.1400,2.67602460,0.00642217,0.00213783,0.00239989
100x16,1.1600,2.67641172,0.00648004,0.00211861,0.00242117
100x16,1.1800,2.67678566,0.00653740,0.00209989,0.00244226
100x16,1.2000,2.67715074,0.00659426,0.00208167,0.00246316
100x16,1.2200,2.67750347,0.00665062,0.00206392,0.00248389
100x16,1.2400,2.67784849,0.00670650,0.00204661,0.00250444
100x16,1.2600,2.67818186,0.00676192,0.00202973,0.00252482
100x16,1.2800,2.67850851,0.00681687,0.00201326,0.00254503
100x16,1.3000,2.67882418,0.00687139,0.00199719,0.00256508
100x16,1.3200,2.67913400,0.00692547,0.00198150,0.00258496
100x16,1.3400,2.67943336,0.00697913,0.00196617,0.00260470
100x16,1.3600,2.67972780,0.00703236,0.00195120,0.00262428
100x16,1.3800,2.68001203,0.00708521,0.00193656,0.00264372
100x16,1.4000,2.68029237,0.00713764,0.00192225,0.00266301
100x16,1.4200,2.68056262,0.00718971,0.00190825,0.00268216
100x16,1.4400,2.68082991,0.00724138,0.00189455,0.00270117
100x16,1.4600,2.68108725,0.00729270,0.00188114,0.00272005
100x16,1.4800,2.68134247,0.00734363,0.00186802,0.00273879
100x16,1.5000,2.68158777,0.00739423,0.00185517,0.00275741
100x16,1.5200,2.68183185,0.00744446,0.00184258,0.00277588
100x16,1.5400,2.68206601,0.00749438,0.00183024,0.00279426
100x16,1.5600,2.68229956,0.00754393,0.00181815,0.00281248
100x16,1.5800,2.68252354,0.00759319,0.00180629,0.00283062
100x16,1.6000,2.68274714,0.00764209,0.00179468,0.00284861
100x16,1.6200,2.68296169,0.00769072,0.00178327,0.00286650
100x16,1.6400,2.68317598,0.00773899,0.00177208,0.00288427
100x16,1.6600,2.68338176,0.00778702,0.00176110,0.00290194
100x16,1.6800,2.68358724,0.00783469,0.00175033,0.00291948
100x16,1.7000,2.68378495,0.00788212,0.00173974,0.00293694
100x16,1.7200,2.68398207,0.00792922,0.00172936,0.00295427
100x16,1.7400,2.68417227,0.00797609,0.00171914,0.00297153
100x16,1.7600,2.68436151,0.00802261,0.00170912,0.00298865
100x16,1.7800,2.68454475,0.00806896,0.00169926,0.00300571
100x16,1.8000,2.68472638,0.00811492,0.00168959,0.00302262
100x16,1.8200,2.68490335,0.00816076,0.00168005,0.00303950
100x16,1.8400,2.68507755,0.00820616,0.00167071,0.00305621
100x16,1.8600,2.68524888,0.00825155,0.00166147,0.00307292
100x16,1.8800,2.68541578,0.00829639,0.00165245,0.00308943
100x16,1.9000,2.68558216,0.00834134,0.00164350,0.00310597
100x16,1.9200,2.68574174,0.00838563,0.00163478,0.00312228
100x16,1.9400,2.68590388,0.00843018,0.00162610,0.00313867
100x16,1.9600,2.68605616,0.00847391,0.00161767,0.00315478
100x16,1.9800,2.68621467,0.00851809,0.00160924,0.00317104
100x16,2.0000,2.68635960,0.00856126,0.00160109,0.00318694
100x16,2.0200,2.68651520,0.00860512,0.00159289,0.00320308
100x16,2.0400,2.68665264,0.00864771,0.00158502,0.00321877
100x16,2.0600,2.68680597,0.00869127,0.00157703,0.00323479
100x16,2.0800,2.68693570,0.00873327,0.00156942,0.00325027
100x16,2.1000,2.68708789,0.00877660,0.00156163,0.00326621
100x16,2.1200,2.68720890,0.00881795,0.00155428,0.00328145
100x16,2.1400,2.68736127,0.00886113,0.00154667,0.00329733
200x32,0.2300,2.60361585,0.00265821,0.00522717,0.00102097
200x32,0.2400,2.60719850,0.00272906,0.00508830,0.00104674
200x32,0.2500,2.61048690,0.00279804,0.00496003,0.00107185
200x32,0.2600,2.61351818,0.00286530,0.00484109,0.00109634
200x32,0.2700,2.61632322,0.00293095,0.00473038,0.00112025
200x32,0.2800,2.61892808,0.00299510,0.00462700,0.00114364
200x32,0.2900,2.62135475,0.00305786,0.00453017,0.00116652
200x32,0.3000,2.62362211,0.00311931,0.00443922,0.00118893
200x32,0.3100,2.62574631,0.00317953,0.00435357,0.00121091
200x32,0.3200,2.62774140,0.00323860,0.00427274,0.00123246
200x32,0.3300,2.62961950,0.00329657,0.00419628,0.00125363
200x32,0.3400,2.63139132,0.00335350,0.00412381,0.00127442
200x32,0.3500,2.63306615,0.00340946,0.00405500,0.00129486
200x32,0.3600,2.63465231,0.00346448,0.00398954,0.00131497
200x32,0.3700,2.63615706,0.00351862,0.00392718,0.00133475
200x32,0.3800,2.63758695,0.00357191,0.00386767,0.00135423
200x32,0.3900,2.63894776,0.00362440,0.00381080,0.00137342
200x32,0.4000,2.64024472,0.00367611,0.00375638,0.00139234
200x32,0.4100,2.64148250,0.00372709,0.00370425,0.00141098
200x32,0.4200,2.64266533,0.00377736,0.00365424,0.00142938
200x32,0.4300,2.64379701,0.00382696,0.00360621,0.00144752
200x32,0.4400,2.64488102,0.00387590,0.00356004,0.00146543
200x32,0.4500,2.64592048,0.00392421,0.00351561,0.00148312
200x32,0.4600,2.64691829,0.00397193,0.00347281,0.00150059
200x32,0.4700,2.64787703,0.00401906,0.00343154,0.00151784
200x32,0.4800,2.64879914,0.00406563,0.00339172,0.00153490
200x32,0.4900,2.64968677,0.00411167,0.00335326,0.00155176
200x32,0.5000,2.65054198,0.00415718,0.00331609,0.00156843
200x32,0.5100,2.65136660,0.00420219,0.00328013,0.00158491
200x32,0.5200,2.65216238,0.00424671,0.00324533,0.00160122
200x32,0.5300,2.65293087,0.00429075,0.00321161,0.00161736
200x32,0.5400,2.65367358,0.00433434,0.00317893,0.00163334
200x32,0.5500,2.65439183,0.00437749,0.00314723,0.00164915
200x32,0.5600,2.65508693,0.00442020,0.00311647,0.00166481
200x32,0.5700,2.65576000,0.00446250,0.00308659,0.00168031
200x32,0.5800,2.65641219,0.00450439,0.00305756,0.00169567
200x32,0.5900,2.65704448,0.00454589,0.00302934,0.00171088
200x32,0.6000,2.65765787,0.00458701,0.00300189,0.00172596
200x32,0.6100,2.65825319,0.00462775,0.00297518,0.00174090
200x32,0.6200,2.65883135,0.00466813,0.00294917,0.00175571
200x32,0.6300,2.65939305,0.00470816,0.00292383,0.00177039
200x32,0.6400,2.65993911,0.00474784,0.00289914,0.00178494
200x32,0.6500,2.66047015,0.00478719,0.00287507,0.00179938
200x32,0.6600,2.66098687,0.00482621,0.00285158,0.00181369
200x32,0.6700,2.66148983,0.00486491,0.00282867,0.00182789
200x32,0.6800,2.66197967,0.00490330,0.00280630,0.00184197
200x32,0.6900,2.66245686,0.00494138,0.00278446,0.00185595
200x32,0.7000,2.66292199,0.00497917,0.00276312,0.00186982
200x32,0.7100,2.66337545,0.00501667,0.00274227,0.00188358
200x32,0.7200,2.66381781,0.00505389,0.00272188,0.00189724
200x32,0.7300,2.66424939,0.00509083,0.00270195,0.00191079
200x32,0.7400,2.66467071,0.00512750,0.00268244,0.00192425
200x32,0.7500,2.66508205,0.00516390,0.00266336,0.00193762
200x32,0.7600,2.66548389,0.00520005,0.00264467,0.00195088
200x32,0.7700,2.66587646,0.00523594,0.00262638,0.00196406
200x32,0.7800,2.66626023,0.00527158,0.00260846,0.00197714
200x32,0.7900,2.66663537,0.00530698,0.00259091,0.00199014
200x32,0.8000,2.66700233,0.00534214,0.00257371,0.00200305
200x32,0.8100,2.66736125,0.00537707,0.00255684,0.00201588
200x32,0.8200,2.66771255,0.00541176,0.00254031,0.00202862
200x32,0.8300,2.66805634,0.00544624,0.00252409,0.00204128
200x32,0.8400,2.66839303,0.00548049,0.00250818,0.00205385
200x32,0.8500,2.66872268,0.00551453,0.00249257,0.00206635
200x32,0.8600,2.66904571,0.00554835,0.00247725,0.00207878
200x32,0.8700,2.66936213,0.00558197,0.00246221,0.00209112
200x32,0.8800,2.66967236,0.00561538,0.00244744,0.00210340
200x32,0.8900,2.66997638,0.00564859,0.00243293,0.00211560
200x32,0.9000,2.67027460,0.00568160,0.00241868,0.00212772
200x32,0.9100,2.67056699,0.00571442,0.00240467,0.00213978
200x32,0.9200,2.67085393,0.00574705,0.00239091,0.00215177
200x32,0.9300,2.67113537,0.00577950,0.00237739,0.00216369
200x32,0.9400,2.67141170,0.00581175,0.00236409,0.00217554
200x32,0.9500,2.67168284,0.00584383,0.00235101,0.00218732
200x32,0.9600,2.67194917,0.00587573,0.00233815,0.00219904
200x32,0.9700,2.67221060,0.00590746,0.00232549,0.00221070
200x32,0.9800,2.67246750,0.00593901,0.00231304,0.00222230
200x32,0.9900,2.67271976,0.00597040,0.00230079,0.00223383
200x32,1.0000,2.67296774,0.00600161,0.00228874,0.00224530
200x32,1.0100,2.67321134,0.00603267,0.00227687,0.00225671
200x32,1.0200,2.67345090,0.00606356,0.00226518,0.00226806
200x32,1.0300,2.67368630,0.00609429,0.00225368,0.00227936
200x32,1.0400,2.67391788,0.00612487,0.00224234,0.00229060
200x32,1.0500,2.67414552,0.00615529,0.00223118,0.00230178
200x32,1.0600,2.67436953,0.00618556,0.00222018,0.00231291
200x32,1.0700,2.67458981,0.00621569,0.00220935,0.00232398
200x32,1.0800,2.67480664,0.00624566,0.00219867,0.00233500
200x32,1.0900,2.67501992,0.00627549,0.00218814,0.00234596
200x32,1.1000,2.67522995,0.00630518,0.00217777,0.00235687
200x32,1.1100,2.67543658,0.00633472,0.00216754,0.00236773
200x32,1.1200,2.67564013,0.00636413,0.00215746,0.00237854
200x32,1.1300,2.67584044,0.00639340,0.00214751,0.00238930
200x32,1.1400,2.67603783,0.00642253,0.00213771,0.00240001
200x32,1.1500,2.67623211,0.00645153,0.00212803,0.00241068
200x32,1.1600,2.67642363,0.00648040,0.00211849,0.00242129
200x32,1.1700,2.67661217,0.00650914,0.00210907,0.00243186
200x32,1.1800,2.67679810,0.00653775,0.00209978,0.00244238
200x32,1.1900,2.67698116,0.00656623,0.00209061,0.00245285
200x32,1.2000,2.67716176,0.00659459,0.00208156,0.00246328
200x32,1.2100,2.67733958,0.00662283,0.00207263,0.00247366
200x32,1.2200,2.67751509,0.00665094,0.00206381,0.00248400
200x32,1.2300,2.67768792,0.00667894,0.00205511,0.00249429
200x32,1.2400,2.67785856,0.00670681,0.00204651,0.00250454
200x32,1.2500,2.67802660,0.00673457,0.00203802,0.00251475
200x32,1.2600,2.67819259,0.00676221,0.00202964,0.00252492
200x32,1.2700,2.67835606,0.00678974,0.00202135,0.00253504
200x32,1.2800,2.67851760,0.00681716,0.00201317,0.00254512
200x32,1.2900,2.67867669,0.00684447,0.00200509,0.00255517
200x32,1.3000,2.67883396,0.00687166,0.00199711,0.00256517
200x32,1.3100,2.67898885,0.00689875,0.00198922,0.00257513
200x32,1.3200,2.67914204,0.00692573,0.00198142,0.00258505
200x32,1.3300,2.67929290,0.00695260,0.00197372,0.00259494
200x32,1.3400,2.67944216,0.00697937,0.00196610,0.00260479
200x32,1.3500,2.67958916,0.00700604,0.00195857,0.00261459
200x32,1.3600,2.67973467,0.00703260,0.00195113,0.00262436
200x32,1.3700,2.67987795,0.00705906,0.00194377,0.00263410
200x32,1.3800,2.68001985,0.00708542,0.00193650,0.00264379
200x32,1.3900,2.68015956,0.00711168,0.00192931,0.00265345
200x32,1.4000,2.68029800,0.00713785,0.00192219,0.00266308
200x32,1.4100,2.68043427,0.00716391,0.00191516,0.00267267
200x32,1.4200,2.68056938,0.00718988,0.00190820,0.00268222
200x32,1.4300,2.68070234,0.00721576,0.00190132,0.00269174
200x32,1.4400,2.68083426,0.00724154,0.00189451,0.00270123
200x32,1.4500,2.68096403,0.00726723,0.00188777,0.00271068
200x32,1.4600,2.68109287,0.00729283,0.00188111,0.00272010
200x32,1.4700,2.68121957,0.00731834,0.00187452,0.00272948
200x32,1.4800,2.68134545,0.00734375,0.00186799,0.00273883
200x32,1.4900,2.68146919,0.00736908,0.00186153,0.00274815
200x32,1.5000,2.68159222,0.00739432,0.00185514,0.00275744
200x32,1.5100,2.68171310,0.00741948,0.00184882,0.00276669
200x32,1.5200,2.68183338,0.00744454,0.00184256,0.00277592
200x32,1.5300,2.68195151,0.00746953,0.00183636,0.00278511
200x32,1.5400,2.68206914,0.00749442,0.00183023,0.00279427
200x32,1.5500,2.68218462,0.00751924,0.00182416,0.00280340
200x32,1.5600,2.68229967,0.00754397,0.00181814,0.00281250
200x32,1.5700,2.68241260,0.00756862,0.00181219,0.00282157
200x32,1.5800,2.68252517,0.00759319,0.00180630,0.00283061
200x32,1.5900,2.68263563,0.00761767,0.00180046,0.00283962
200x32,1.6000,2.68274579,0.00764208,0.00179468,0.00284860
200x32,1.6100,2.68285389,0.00766641,0.00178895,0.00285756
200x32,1.6200,2.68296171,0.00769066,0.00178328,0.00286648
200x32,1.6300,2.68306753,0.00771484,0.00177766,0.00287538
200x32,1.6400,2.68317309,0.00773893,0.00177210,0.00288425
200x32,1.6500,2.68327669,0.00776295,0.00176659,0.00289309
200x32,1.6600,2.68338006,0.00778690,0.00176113,0.00290190
200x32,1.6700,2.68348153,0.00781077,0.00175572,0.00291069
200x32,1.6800,2.68358278,0.00783457,0.00175036,0.00291944
200x32,1.6900,2.68368219,0.00785829,0.00174504,0.00292818
200x32,1.7000,2.68378138,0.00788194,0.00173978,0.00293688
200x32,1.7100,2.68387879,0.00790553,0.00173457,0.00294556
200x32,1.7200,2.68397599,0.00792903,0.00172940,0.00295421
200x32,1.7300,2.68407146,0.00795247,0.00172427,0.00296284
200x32,1.7400,2.68416675,0.00797584,0.00171920,0.00297144
200x32,1.7500,2.68426032,0.00799914,0.00171416,0.00298002
200x32,1.7600,2.68435376,0.00802237,0.00170918,0.00298857
200x32,1.7700,2.68444549,0.00804554,0.00170423,0.00299709
200x32,1.7800,2.68453714,0.00806863,0.00169933,0.00300559
200x32,1.7900,2.68462708,0.00809166,0.00169447,0.00301407
200x32,1.8000,2.68471699,0.00811461,0.00168965,0.00302252
200x32,1.8100,2.68480521,0.00813752,0.00168487,0.00303095
200x32,1.8200,2.68489341,0.00816034,0.00168014,0.00303935
200x32,1.8300,2.68497999,0.00818312,0.00167544,0.00304774
200x32,1.8400,2.68506651,0.00820580,0.00167078,0.00305609
200x32,1.8500,2.68515149,0.00822846,0.00166616,0.00306443
200x32,1.8600,2.68523639,0.00825101,0.00166159,0.00307273
200x32,1.8700,2.68531984,0.00827355,0.00165704,0.00308103
200x32,1.8800,2.68540311,0.00829597,0.00165254,0.00308928
200x32,1.8900,2.68548512,0.00831839,0.00164806,0.00309754
200x32,1.9000,2.68556678,0.00834068,0.00164364,0.00310574
200x32,1.9100,2.68564741,0.00836299,0.00163923,0.00311396
200x32,1.9200,2.68572749,0.00838515,0.00163488,0.00312212
200x32,1.9300,2.68580681,0.00840735,0.00163054,0.00313029
200x32,1.9400,2.68588529,0.00842938,0.00162626,0.00313840
200x32,1.9500,2.68596341,0.00845147,0.00162199,0.00314653
200x32,1.9600,2.68604027,0.00847337,0.00161778,0.00315460
200x32,1.9700,2.68611728,0.00849536,0.00161357,0.00316269
200x32,1.9800,2.68619251,0.00851713,0.00160943,0.00317071
200x32,1.9900,2.68626850,0.00853903,0.00160528,0.00317877
200x32,2.0000,2.68634206,0.00856066,0.00160121,0.00318674
200x32,2.0100,2.68641715,0.00858247,0.00159712,0.00319476
200x32,2.0200,2.68648900,0.00860397,0.00159311,0.00320268
200x32,2.0300,2.68656329,0.00862569,0.00158908,0.00321068
200x32,2.0400,2.68663340,0.00864705,0.00158514,0.00321854
200x32,2.0500,2.68670702,0.00866869,0.00158117,0.00322651
200x32,2.0600,2.68677529,0.00868991,0.00157729,0.00323433
200x32,2.0700,2.68684840,0.00871148,0.00157336,0.00324227
200x32,2.0800,2.68691473,0.00873255,0.00156955,0.00325003
200x32,2.0900,2.68698751,0.00875406,0.00156568,0.00325795
200x32,2.1000,2.68705177,0.00877498,0.00156193,0.00326565
200x32,2.1100,2.68712442,0.00879644,0.00155810,0.00327355
200x32,2.1200,2.68718647,0.00881719,0.00155442,0.00328120
200x32,2.1300,2.68725919,0.00883861,0.00155064,0.00328908
200x32,2.1400,2.68731884,0.00885920,0.00154702,0.00329667
200x32,2.1500,2.68739196,0.00888059,0.00154327,0.00330454
200x32,2.1600,2.68744886,0.00890099,0.00153972,0.00331206
200x32,2.1700,2.68752275,0.00892237,0.00153602,0.00331992
